Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
5,130.2,0,00:31.0,02:00.7,4.14,00:00.0,0,28,15,8.45,0,---,273,-61,5,39,10,303,581,533,41,39.9862,-75.2028
5,138.7,0,00:33.0,01:59.6,4.18,00:00.0,0,29,16,8.44,0,---,253,-60,6,39,8,284,516,511,66,39.9862,-75.2029
5,147.8,0,00:35.2,01:59.6,4.18,00:00.0,0,29,17,9.12,0,---,253,-60,5,40,11,280,525,513,64,39.9861,-75.2029
5,156.3,0,00:37.3,01:59.3,4.19,00:00.0,0,29,18,8.52,0,---,251,-61,6,40,7,279,521,492,65,39.986,-75.203
5,164.8,0,00:39.5,01:58.4,4.22,00:00.0,0,29,19,8.49,0,---,265,-61,4,40,8,299,550,489,64,39.986,-75.203
5,174.1,0,00:41.4,01:56.5,4.29,00:00.0,0,29,20,9.32,0,---,256,-59,6,40,11,290,522,522,67,39.9859,-75.2031
5,182.7,0,00:43.4,01:56.8,4.28,00:00.0,0,29,21,8.62,0,---,247,-61,7,40,9,274,503,502,66,39.9858,-75.2031
5,190.7,0,00:45.4,01:57.6,4.25,00:00.0,0,29,22,8,0,---,267,-60,3,40,6,312,553,515,66,39.9858,-75.2032
5,200,0,00:47.4,01:56.0,4.31,00:00.0,0,30,23,9.23,0,---,254,-60,6,41,9,283,520,493,63,39.9857,-75.2033
5,209.2,0,00:49.6,01:56.2,4.3,00:00.0,0,29,24,9.23,0,---,249,-61,5,40,9,280,516,504,68,39.9856,-75.2033
5,217.1,0,00:51.5,01:57.6,4.25,00:00.0,0,29,25,7.89,0,---,269,-61,7,40,9,300,549,522,67,39.9856,-75.2034
5,226.3,0,00:53.6,01:56.2,4.3,00:00.0,0,30,26,9.24,0,---,262,-61,7,40,10,297,535,538,66,39.9855,-75.2034
5,234.8,0,00:55.6,01:58.4,4.22,00:00.0,0,30,27,8.44,0,---,274,-60,6,40,10,308,560,535,61,39.9854,-75.2035
5,242.3,0,00:57.7,02:02.2,4.09,00:00.0,0,29,28,7.5,0,---,233,-59,6,39,7,260,477,516,63,39.9854,-75.2035
5,250.5,0,00:59.8,02:11.9,3.79,00:00.0,0,30,29,8.22,0,---,---,---,---,---,---,---,---,---,---,39.9853,-75.2036
