Stroke (#),Second (#),Distance (m),Work (J),Actual power (W),Average power (W),Actual split (s),Average split (s),Stroke rate (SPM),Heart rate (bpm)
397,1246,3742,284.5,99,90.7,152,157,20.3,124
398,1249,3751,264.4,93,90.7,155,157,19.6,125
399,1252,3761,268.1,87,90.7,159,157,19.6,125
400,1255,3771,300.0,93,90.8,155,157,20.7,125
401,1258,3780,290.4,98,90.8,152,157,19.6,125
402,1261,3790,291.0,100,90.8,151,157,20.6,125
403,1263,3800,271.0,100,90.8,151,157,20.5,125
404,1267,3809,266.3,91,90.8,156,157,20.1,125
405,1270,3819,262.1,90,90.8,157,157,20.2,125
406,1273,3828,252.2,87,90.8,159,157,19.9,125
407,1276,3837,265.5,85,90.8,160,157,20.2,125
408,1279,3847,259.2,87,90.8,159,157,19.6,126
409,1282,3857,285.2,92,90.8,156,157,21.3,126
410,1285,3866,275.0,98,90.8,152,157,20.6,126
411,1288,3876,272.2,93,90.8,155,157,20.2,124
412,1290,3883,277.2,93,90.8,155,157,20.4,124
413,1293,3893,281.3,94,90.8,154,157,20.3,125
414,1296,3902,279.3,96,90.8,153,157,20.5,125
415,1299,3912,279.2,95,90.8,154,157,20.4,124
416,1302,3922,277.1,95,90.8,154,157,20.4,125
417,1305,3931,249.4,95,90.8,154,157,20.6,125
418,1308,3941,274.0,88,90.8,158,157,21.2,125
419,1311,3950,273.0,94,90.8,154,157,20.6,125
420,1314,3960,259.3,94,90.9,154,157,20.6,125
421,1317,3969,252.4,90,90.8,157,157,20.7,126
422,1319,3977,277.1,89,90.8,157,157,21.1,126
423,1322,3986,272.8,97,90.9,153,157,21.0,126
424,1325,3996,270.6,91,90.9,156,157,19.9,125
425,1328,4005,265.6,91,90.9,156,157,20.0,125
426,1331,4015,266.1,92,90.9,156,157,20.8,125
427,1334,4024,293.4,93,90.9,155,157,21.0,125
428,1337,4034,273.5,99,90.9,152,157,20.2,125
429,1340,4044,270.8,93,90.9,155,157,20.4,125
430,1343,4053,275.4,94,90.9,154,157,20.7,125
431,1346,4062,255.7,94,90.9,154,157,20.4,125
432,1349,4072,246.8,88,90.9,158,157,20.6,125
433,1352,4082,292.7,86,90.9,159,157,20.9,124
434,1354,4089,270.3,101,90.9,151,157,20.7,125
435,1357,4098,261.4,93,90.9,155,157,20.6,125
436,1360,4108,267.9,90,90.9,157,157,20.7,125
437,1363,4118,259.4,91,90.9,156,157,20.3,125
438,1366,4127,273.5,86,90.9,159,157,20.0,124
439,1369,4137,297.3,93,90.9,155,157,20.3,124
440,1372,4146,283.5,104,90.9,149,157,21.0,124
441,1375,4156,264.1,97,90.9,153,157,20.5,124
442,1378,4165,260.2,91,90.9,156,157,20.7,124
443,1381,4175,282.6,89,91.0,157,157,20.6,124
444,1384,4185,275.8,97,91.0,153,156,20.6,124
445,1387,4194,272.2,92,91.0,156,156,19.9,124
446,1390,4204,272.8,90,91.0,157,156,19.9,124
447,1393,4213,272.2,93,91.0,155,156,20.4,125
448,1395,4221,284.1,94,91.0,154,156,20.6,126
449,1398,4231,275.0,98,91.0,152,156,20.6,125
450,1401,4240,275.8,95,91.0,154,156,20.7,125
451,1404,4250,268.8,94,91.0,154,156,20.4,125
452,1407,4259,258.1,91,91.0,156,156,20.3,124
453,1410,4269,274.8,88,91.0,158,156,20.4,124
454,1413,4278,290.8,94,91.0,154,156,20.5,124
455,1416,4288,270.2,100,91.0,151,156,20.6,124
456,1419,4298,265.0,92,91.0,156,156,20.3,124
457,1422,4307,276.7,92,91.0,156,156,20.8,125
458,1425,4317,272.2,93,91.0,155,156,20.2,125
459,1428,4326,247.7,91,91.0,156,156,20.1,125
460,1431,4336,287.0,85,91.0,160,156,20.5,126
461,1433,4343,296.8,99,91.0,152,156,20.7,126
462,1436,4353,267.7,103,91.1,150,156,20.8,125
463,1439,4362,272.7,94,91.1,154,156,20.9,126
